                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.27986,                0.24087,                  0.889,                0.90131,                0.89362,                0.94627,                0.83706,                0.51011,                0.50946,                0.99561,              0.0003962,              0.0003962,              0.0003962
                     83,                0.28376,                 0.2363,                0.90314,                0.91467,                0.91231,                0.94394,                0.83579,                0.49128,                0.48644,                0.98153,              0.0003764,              0.0003764,              0.0003764
                     84,                0.30084,                0.23932,                0.89767,                0.93243,                0.91489,                0.94651,                0.84585,                0.47901,                0.45828,                0.96299,              0.0003566,              0.0003566,              0.0003566
                     85,                0.27216,                0.25451,                0.88695,                0.93607,                 0.9347,                0.94808,                 0.8435,                0.47901,                0.44307,                0.95429,              0.0003368,              0.0003368,              0.0003368
                     86,                0.28631,                0.25712,                0.90426,                 0.9374,                 0.9558,                0.95013,                0.84911,                0.46184,                0.43259,                0.94686,               0.000317,               0.000317,               0.000317
                     87,                0.27086,                0.24807,                0.90324,                0.93732,                0.95458,                0.94941,                0.84112,                0.46819,                0.43512,                0.95869,              0.0002972,              0.0002972,              0.0002972
                     88,                0.28001,                0.23259,                0.90099,                0.95633,                0.93188,                0.95498,                0.84796,                0.47086,                0.44072,                0.96851,              0.0002774,              0.0002774,              0.0002774
                     89,                0.29156,                0.23676,                0.89964,                0.95461,                0.93617,                0.96421,                0.86324,                0.47323,                0.42618,                0.97536,              0.0002576,              0.0002576,              0.0002576
                     90,                0.26052,                0.22562,                0.89033,                0.93142,                0.91489,                0.93689,                0.84786,                0.46877,                0.41387,                0.97508,              0.0002378,              0.0002378,              0.0002378
                     91,                0.25255,                0.31443,                0.87798,                0.92975,                0.91489,                0.94209,                0.84581,                0.46696,                0.43026,                0.96737,               0.000218,               0.000218,               0.000218
                     92,                 0.2385,                0.23701,                0.86675,                0.95165,                0.93617,                0.95821,                0.82948,                0.47423,                0.45897,                0.97384,              0.0001982,              0.0001982,              0.0001982
                     93,                0.21924,                0.20812,                0.86261,                0.95625,                0.93022,                0.96041,                0.83561,                0.47937,                0.46405,                0.97495,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.2236,                0.19519,                0.83921,                0.93107,                0.91489,                0.93373,                0.82726,                0.49628,                0.46833,                0.99223,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.2256,                0.19971,                0.83889,                0.93017,                0.91489,                0.92256,                0.81395,                0.50261,                0.47621,                 0.9926,              0.0001388,              0.0001388,              0.0001388
                     96,                0.22898,                0.19557,                0.84923,                0.93246,                0.91489,                0.93045,                0.81977,                0.49736,                0.47256,                0.98922,               0.000119,               0.000119,               0.000119
                     97,                0.22936,                0.18328,                0.84748,                0.93252,                0.91489,                0.93051,                0.82303,                 0.5011,                0.47591,                0.99205,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.20949,                0.18207,                0.83854,                0.93232,                0.91489,                0.92953,                0.82224,                0.49571,                 0.4722,                0.98828,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.21175,                0.17359,                0.85442,                0.93242,                0.91489,                0.92918,                0.83191,                0.48604,                0.47388,                0.98147,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.20069,                0.17371,                0.83268,                 0.9332,                0.91489,                0.92982,                0.82057,                0.48244,                0.47217,                0.97936,               3.98e-05,               3.98e-05,               3.98e-05
